symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
GODFRYPHLP-EQ,1181.0,1655.0,1632.55,1,1649.85,-0.0031,False,1632.55,1655.0,60,1652.25
WESTLIFE-EQ,11580.0,865.0,854.0,1,862.2,-0.0032,False,854.0,865.0,115,857.0
INGERRAND-EQ,1597.0,2990.0,2932.0,1,2980.0,-0.0033,False,2932.0,2990.0,33,2953.6
INDIANB-EQ,14309.0,280.95,276.35,1,280.0,-0.0034,False,276.35,280.95,357,280.0
BAJAJ-AUTO-EQ,16669.0,4740.0,4620.1,-1,4636.0,-0.0034,False,4620.1,4740.0,21,4655.0
IRCTC-EQ,13611.0,634.5,626.55,1,632.25,-0.0035,False,626.55,634.5,158,631.55
HINDALCO-EQ,1363.0,421.55,418.35,-1,419.85,-0.0036,False,418.35,421.55,238,417.0
ICICIBANK-EQ,4963.0,944.0,934.3,1,940.5,-0.0037,False,934.3,944.0,106,937.6
IRB-EQ,15313.0,27.3,26.95,1,27.2,-0.0037,False,26.95,27.3,3676,27.25
UCOBANK-EQ,11223.0,26.95,26.55,1,26.85,-0.0037,False,26.55,26.95,3724,26.85
AUBANK-EQ,21238.0,756.9,742.55,1,754.0,-0.0038,False,742.55,756.9,132,749.4
THERMAX-EQ,3475.0,2249.25,2218.15,1,2240.4,-0.0039,False,2218.15,2249.25,44,2247.5
CGPOWER-EQ,760.0,377.8,371.3,1,376.25,-0.0041,False,371.3,377.8,265,376.55
PVRINOX-EQ,13147.0,1399.0,1376.65,1,1392.95,-0.0043,False,1376.65,1399.0,71,1386.85
OBEROIRLTY-EQ,20242.0,992.0,975.0,1,987.7,-0.0043,False,975.0,992.0,101,987.55
HINDZINC-EQ,1424.0,309.35,305.9,1,308.0,-0.0044,False,305.9,309.35,324,306.8
RAMCOCEM-EQ,2043.0,942.05,930.95,1,937.95,-0.0044,False,930.95,942.05,106,933.0
KSB-EQ,1949.0,2168.0,2143.0,1,2158.1,-0.0046,False,2143.0,2168.0,46,2161.5
IDFC-EQ,11957.0,103.5,101.45,1,103.0,-0.0048,False,101.45,103.5,970,102.45
CASTROLIND-EQ,1250.0,122.6,120.85,1,122.0,-0.0049,False,120.85,122.6,819,122.4
INDIGOPNTS-EQ,2048.0,1435.0,1418.0,-1,1425.0,-0.0049,False,1418.0,1435.0,70,1430.95
MSUMI-EQ,8596.0,57.2,56.45,1,56.9,-0.0052,False,56.45,57.2,1757,56.7
PETRONET-EQ,11351.0,221.5,219.4,1,220.35,-0.0052,False,219.4,221.5,453,220.3
CSBBANK-EQ,14966.0,283.5,279.2,1,282.0,-0.0053,False,279.2,283.5,354,281.4
POLYPLEX-EQ,2687.0,1325.95,1310.0,1,1318.9,-0.0053,False,1310.0,1325.95,75,1318.6
GUJGASLTD-EQ,10599.0,469.8,464.85,-1,467.4,-0.0055,False,464.85,469.8,213,467.95
LUXIND-EQ,11301.0,1514.65,1494.0,1,1506.1,-0.0056,False,1494.0,1514.65,66,1507.75
JKLAKSHMI-EQ,13491.0,735.55,720.05,1,731.45,-0.0056,False,720.05,735.55,136,729.45
IDBI-EQ,1476.0,54.05,53.45,1,53.75,-0.0056,False,53.45,54.05,1860,53.85
VEDL-EQ,3063.0,281.55,279.0,1,279.95,-0.0057,False,279.0,281.55,357,279.9
TATAPOWER-EQ,3426.0,220.95,217.55,1,219.7,-0.0057,False,217.55,220.95,455,219.2
CIPLA-EQ,694.0,1018.5,1004.05,-1,1009.9,-0.0058,False,1004.05,1018.5,99,1012.25
BATAINDIA-EQ,371.0,1675.0,1658.9,1,1665.0,-0.006,False,1658.9,1675.0,60,1673.0
STLTECH-EQ,9309.0,148.9,146.25,1,148.0,-0.006,False,146.25,148.9,675,147.2
ABFRL-EQ,30108.0,214.8,211.85,1,213.5,-0.0061,False,211.85,214.8,468,214.7
GOCOLORS-EQ,6964.0,1145.0,1121.0,1,1138.0,-0.0061,False,1121.0,1145.0,87,1139.95
BALRAMCHIN-EQ,341.0,385.35,380.0,1,383.0,-0.0061,False,380.0,385.35,261,382.9
BRITANNIA-EQ,547.0,5019.95,4959.9,-1,4990.2,-0.0061,False,4959.9,5019.95,20,4997.9
NMDC-EQ,15332.0,105.6,104.3,1,104.95,-0.0062,False,104.3,105.6,952,104.6
NAUKRI-EQ,13751.0,4504.25,4404.6,-1,4432.0,-0.0062,False,4404.6,4504.25,22,4436.7
AVANTIFEED-EQ,7936.0,393.3,387.6,-1,390.0,-0.0062,False,387.6,393.3,256,390.95
IGL-EQ,11262.0,478.45,471.05,1,475.5,-0.0062,False,471.05,478.45,210,475.6
TATASTEEL-EQ,3499.0,112.05,110.9,-1,111.6,-0.0063,False,110.9,112.05,896,110.95
GRASIM-EQ,1232.0,1754.7,1734.0,-1,1745.0,-0.0063,False,1734.0,1754.7,57,1742.3
LEMONTREE-EQ,2606.0,94.8,92.75,1,94.2,-0.0063,False,92.75,94.8,1061,94.15
VINATIORGA-EQ,17364.0,1851.65,1826.0,1,1839.85,-0.0064,False,1826.0,1851.65,54,1835.15
MAHLOG-EQ,385.0,383.15,376.7,1,380.6,-0.0067,False,376.7,383.15,262,380.0
NAZARA-EQ,2987.0,703.7,687.0,1,698.9,-0.0068,False,687.0,703.7,143,698.65
TEJASNET-EQ,21131.0,735.0,723.05,1,729.9,-0.0069,False,723.05,735.0,137,729.75
SHARDACROP-EQ,4992.0,563.9,550.0,1,559.95,-0.007,False,550.0,563.9,178,553.8
CHOLAHLDNG-EQ,21740.0,923.55,906.05,1,917.0,-0.0071,False,906.05,923.55,109,915.85
TATAELXSI-EQ,3411.0,7678.1,7552.0,1,7623.0,-0.0072,False,7552.0,7678.1,13,7640.0
MTARTECH-EQ,2709.0,1948.0,1910.0,1,1934.0,-0.0072,False,1910.0,1948.0,51,1931.35
AARTIIND-EQ,7.0,511.7,504.7,1,508.0,-0.0072,False,504.7,511.7,196,508.45
SUNTV-EQ,13404.0,439.6,432.5,1,436.45,-0.0072,False,432.5,439.6,229,435.7
KEC-EQ,13260.0,559.6,549.55,-1,553.55,-0.0072,False,549.55,559.6,180,555.5
GSFC-EQ,1247.0,164.2,161.5,1,163.0,-0.0073,False,161.5,164.2,613,162.95
SANOFI-EQ,1442.0,6969.45,6860.0,-1,6910.4,-0.0073,False,6860.0,6969.45,14,6934.85
BALKRISIND-EQ,335.0,2378.7,2341.85,1,2361.45,-0.0073,False,2341.85,2378.7,42,2376.7
SRF-EQ,3273.0,2332.0,2299.0,1,2314.8,-0.0074,False,2299.0,2332.0,43,2322.35
MCDOWELL-N-EQ,10447.0,921.9,910.8,1,915.0,-0.0075,False,910.8,921.9,109,917.35
DABUR-EQ,772.0,575.9,568.7,-1,573.0,-0.0075,False,568.7,575.9,174,572.25
HEROMOTOCO-EQ,1348.0,2861.35,2795.0,1,2839.95,-0.0075,False,2795.0,2861.35,35,2848.5
CROMPTON-EQ,17094.0,291.5,286.5,1,289.3,-0.0075,False,286.5,291.5,345,290.65
CRAFTSMAN-EQ,2854.0,4100.0,4035.0,1,4069.45,-0.0075,False,4035.0,4100.0,24,4055.0
NESTLEIND-EQ,17963.0,22800.0,22580.0,-1,22750.0,-0.0075,False,22580.0,22800.0,4,22709.2
BLUEDART-EQ,495.0,7239.0,7180.0,1,7185.0,-0.0075,False,7180.0,7239.0,13,7150.0
SAIL-EQ,2963.0,86.05,85.1,1,85.4,-0.0076,False,85.1,86.05,1170,85.4
ACI-EQ,12024.0,544.7,529.8,1,540.5,-0.0077,False,529.8,544.7,185,542.3
LICHSGFIN-EQ,1997.0,397.95,391.75,1,394.9,-0.0077,False,391.75,397.95,253,395.8
SUPREMEIND-EQ,3363.0,3142.35,3070.8,-1,3095.05,-0.0078,False,3070.8,3142.35,32,3159.05
BHARATFORG-EQ,422.0,823.4,813.5,1,817.0,-0.0078,False,813.5,823.4,122,823.0
M&M-EQ,2031.0,1413.75,1390.15,1,1402.65,-0.0079,False,1390.15,1413.75,71,1408.0
IBULHSGFIN-EQ,30125.0,117.95,115.45,1,117.0,-0.0081,False,115.45,117.95,854,117.45
NSLNISP-EQ,14180.0,43.45,42.4,1,43.1,-0.0081,False,42.4,43.45,2320,43.35
PERSISTENT-EQ,18365.0,4928.35,4860.0,1,4888.0,-0.0082,False,4860.0,4928.35,20,4882.5
DIVISLAB-EQ,10940.0,3631.7,3585.05,-1,3615.0,-0.0083,False,3585.05,3631.7,27,3629.55
BSOFT-EQ,6994.0,356.0,347.6,1,353.05,-0.0083,False,347.6,356.0,283,352.8
TCS-EQ,11536.0,3230.95,3193.4,-1,3220.0,-0.0083,False,3193.4,3230.95,31,3220.8
BRIGADE-EQ,15184.0,591.85,576.05,1,586.9,-0.0084,False,576.05,591.85,170,582.25
BAJFINANCE-EQ,317.0,7125.0,7040.0,-1,7100.0,-0.0085,False,7040.0,7125.0,14,7103.75
DIXON-EQ,21690.0,4427.0,4349.85,1,4389.3,-0.0085,False,4349.85,4427.0,22,4385.9
OIL-EQ,17438.0,245.5,241.1,1,243.4,-0.0086,False,241.1,245.5,410,243.35
GAIL-EQ,4717.0,104.85,103.5,1,103.95,-0.0086,False,103.5,104.85,962,103.9
COLPAL-EQ,15141.0,1705.0,1678.0,1,1690.3,-0.0086,False,1678.0,1705.0,59,1682.2
GARFIBRES-EQ,1100.0,3159.4,3090.0,-1,3116.75,-0.0086,False,3090.0,3159.4,32,3114.8
ITI-EQ,1675.0,108.95,107.6,1,108.0,-0.0087,False,107.6,108.95,925,108.3
NHPC-EQ,17400.0,46.05,45.15,1,45.65,-0.0087,False,45.15,46.05,2190,45.75
OLECTRA-EQ,10637.0,969.0,944.0,1,960.5,-0.0088,False,944.0,969.0,104,963.0
NAM-INDIA-EQ,357.0,262.3,254.95,1,260.0,-0.0088,False,254.95,262.3,384,265.75
ASIANPAINT-EQ,236.0,3355.25,3323.5,-1,3353.0,-0.0088,False,3323.5,3355.25,29,3389.45
ESCORTS-EQ,958.0,2214.95,2185.5,1,2195.0,-0.009,False,2185.5,2214.95,45,2190.05
CRISIL-EQ,757.0,3885.0,3806.25,1,3850.0,-0.009,False,3806.25,3885.0,25,3841.3
HINDUNILVR-EQ,1394.0,2687.6,2642.0,-1,2665.95,-0.009,False,2642.0,2687.6,37,2674.0
PRINCEPIPE-EQ,16045.0,671.0,659.55,1,664.9,-0.0091,False,659.55,671.0,150,667.6
GODREJAGRO-EQ,144.0,455.9,450.1,-1,454.25,-0.0091,False,450.1,455.9,220,453.75
BAJAJFINSV-EQ,16675.0,1535.0,1515.8,1,1521.0,-0.0091,False,1515.8,1535.0,65,1522.15
AJANTPHARM-EQ,8124.0,1500.65,1475.0,1,1486.95,-0.0091,False,1475.0,1500.65,67,1491.7
SCHAEFFLER-EQ,1011.0,3108.95,3040.05,1,3080.05,-0.0093,False,3040.05,3108.95,32,3081.0
APOLLOHOSP-EQ,157.0,5175.95,5116.15,1,5128.0,-0.0093,False,5116.15,5175.95,19,5102.7
JBCHEPHARM-EQ,1726.0,2359.7,2320.1,-1,2342.05,-0.0094,False,2320.1,2359.7,42,2353.9
FORTIS-EQ,14592.0,307.95,303.4,1,305.05,-0.0094,False,303.4,307.95,327,304.65
JMFINANCIL-EQ,13637.0,73.45,71.8,1,72.75,-0.0095,False,71.8,73.45,1374,72.35
AMBUJACEM-EQ,1270.0,441.8,431.85,-1,436.0,-0.0095,False,431.85,441.8,229,437.8
