symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
MMTC-EQ,17957.0,32.2,31.55,1,31.8,-0.0124,False,31.55,32.2,3144,31.9
LT-EQ,11483.0,2432.9,2390.05,-1,2420.0,-0.0124,False,2390.05,2432.9,41,2432.55
ATUL-EQ,263.0,7028.0,6925.0,1,6940.0,-0.0125,False,6925.0,7028.0,14,6961.4
EMAMILTD-EQ,13517.0,420.45,411.0,1,415.2,-0.0125,False,411.0,420.45,240,415.1
HOMEFIRST-EQ,2056.0,796.0,775.15,-1,785.0,-0.0125,False,775.15,796.0,127,794.0
ASTRAL-EQ,14418.0,1986.2,1960.0,-1,1985.0,-0.0126,False,1960.0,1986.2,50,1987.4
TCI-EQ,10580.0,735.0,715.75,-1,724.9,-0.0126,False,715.75,735.0,137,723.25
COFORGE-EQ,11543.0,4737.6,4649.0,1,4677.95,-0.0126,False,4649.0,4737.6,21,4692.85
DLF-EQ,14732.0,488.0,483.6,-1,489.8,-0.0127,False,483.6,489.8,204,490.4
TATAMTRDVR-EQ,16965.0,315.75,307.5,-1,311.5,-0.0128,False,307.5,315.75,321,312.3
CEATLTD-EQ,15254.0,2101.0,2074.1,1,2073.95,-0.0129,False,2073.95,2101.0,48,2075.0
HUDCO-EQ,20825.0,58.15,57.1,1,57.4,-0.0129,False,57.1,58.15,1742,57.55
NOCIL-EQ,2442.0,219.35,216.25,1,216.5,-0.013,False,216.25,219.35,461,218.0
CHAMBLFERT-EQ,637.0,278.0,270.4,1,274.35,-0.0131,False,270.4,278.0,364,273.25
MEDANTA-EQ,11956.0,664.8,646.85,1,655.9,-0.0134,False,646.85,664.8,152,657.5
TATACHEM-EQ,3405.0,1015.65,993.05,1,1002.0,-0.0134,False,993.05,1015.65,99,1000.65
PRSMJOHNSN-EQ,2739.0,126.9,125.35,1,125.2,-0.0134,False,125.2,126.9,798,126.2
ICICIGI-EQ,21770.0,1337.95,1314.2,-1,1332.0,-0.0134,False,1314.2,1337.95,75,1330.55
PRESTIGE-EQ,20302.0,585.7,573.55,1,577.8,-0.0135,False,573.55,585.7,173,581.65
ECLERX-EQ,15179.0,1720.0,1681.05,1,1696.8,-0.0135,False,1681.05,1720.0,58,1705.5
CAMPUS-EQ,9362.0,317.7,312.55,1,313.4,-0.0135,False,312.55,317.7,319,313.85
DEEPAKFERT-EQ,827.0,571.7,560.0,1,564.0,-0.0135,False,560.0,571.7,177,564.95
